AL_DE	Dothan Eagle	Dothan, Ala. USA
MI_DFP	Detroit Free Press	Detroit, Mich. USA
MI_GRP	The Grand Rapids Press	Grand Rapids, Mich. USA
MI_JCP	Jackson Citizen Patriot	Jackson, Mich. USA
MI_KG	Kalamazoo Gazette	Kalamazoo, Mich. USA
MI_LSJ	Lansing State Journal	Lansing, Mich. USA
MI_TH	Times Herald	Port Huron, Mich. USA
MN_ST	Star Tribune	Minneapolis, Minn. USA
MN_PP	Pioneer Press	St. Paul, Minn. USA
MS_SH	Sun Herald	Biloxi, Miss. USA
MS_CL	The Clarion-Ledger	Jackson, Miss. USA
MO_FS	Fulton Sun	Fulton, Mo. USA
MO_NT	News Tribune	Jefferson City, Mo. USA
MO_KCS	The Kansas City Star	Kansas City, Mo. USA
MO_NL	News-Leader	Springfield, Mo. USA
MO_SLPD	St. Louis Post-Dispatch	St. Louis, Mo. USA
MT_IR	Independent Record	Helena, Mont. USA
MT_DIL	Daily Inter Lake	Kalispell, Mont. USA
MT_MIS	Missoulian	Missoula, Mont. USA
NE_BDS	Beatrice Daily Sun	Beatrice, Neb. USA
NE_CT	Columbus Telegram	Columbus, Neb. USA
NE_FT	Fremont Tribune	Fremont, Neb. USA
NE_OWH	Omaha World-Herald	Omaha, Neb. USA
NV_EDFP	Elko Daily Free Press	Elko, Nev. USA
NV_SUN	Las Vegas Sun	Las Vegas, Nev. USA
NV_LVRJ	Las Vegas Review-Journal	Las Vegas, Nev. USA
NV_RGJ	Reno Gazette-Journal	Reno, Nev. USA
NJ_TR	The Record	Bergen County, N.J. USA
NJ_SJT	South Jersey Times	Mullica Hill, N.J. USA
NJ_SL	The Star-Ledger	Newark, N.J. USA
NJ_DR	Daily Record	Parsippany, N.J. USA
NJ_PAC	The Press of Atlantic City	Pleasantville, N.J. USA
NJ_TTT	The Times of Trenton	Trenton, N.J. USA
NJ_HN	Herald News	Woodland Park, N.J. USA
NM_LCSN	Las Cruces Sun-News	Las Cruces, N.M. USA
NY_TU	Times Union	Albany, N.Y. USA
NY_TC	The Citizen	Auburn, N.Y. USA
NY_EDLP	El Diario - La Prensa	Brooklyn, N.Y. USA
NY_BN	The Buffalo News	Buffalo, N.Y. USA
NY_ND	Newsday	Melville, N.Y. USA
NY_NYT	The New York Times	New York, N.Y. USA
NY_DN	Daily News	New York, N.Y. USA
NY_PJ	Poughkeepsie Journal	Poughkeepsie, N.Y. USA
NY_RDC	Rochester Democrat and Chronicle	Rochester, N.Y. USA
NY_SIA	Staten Island Advance	Staten Island, N.Y. USA
NY_PS	The Post-Standard	Syracuse, N.Y. USA
NY_JN	The Journal News	Westchester County, N.Y. USA
NY_WJNY	World Journal - New York	Whitestone, N.Y. USA
NC_ACT	Asheville Citizen-Times	Asheville, N.C. USA
NC_GG	Gaston Gazette	Gastonia, N.C. USA
NC_NR	News & Record	Greensboro, N.C. USA
NC_HDR	Hickory Daily Record	Hickory, N.C. USA
NC_IT	The Independent Tribune	Kannapolis, N.C. USA
NC_MN	The McDowell News	Marion, N.C. USA
NC_MT	Mooresville Tribune	Mooresville, N.C. USA
NC_NH	The News Herald	Morganton, N.C. USA
NC_RN	Rockingham Now	Reidsville, N.C. USA
NC_TS	The Star	Shelby, N.C. USA
NC_SRL	Statesville Record & Landmark	Statesville, N.C. USA
NC_WSJ	Winston-Salem Journal	Winston-Salem, N.C. USA
ND_TF	The Forum	Fargo, N.D. USA
ND_GFH	Grand Forks Herald	Grand Forks, N.D. USA
OH_ABJ	Akron Beacon Journal	Akron, Ohio USA
OH_REP	The Repository	Canton, Ohio USA
OH_CPD	The Plain Dealer	Cleveland, Ohio USA
OH_CD	The Columbus Dispatch	Columbus, Ohio USA
OH_DDN	Dayton Daily News	Dayton, Ohio USA
OH_TR	The Times-Reporter	Dover-New Philadelphia, Ohio USA
OH_CT	The Chronicle-Telegram	Elyria, Ohio USA
OH_JN	Journal News	Hamilton, Ohio USA
OH_SNS	Springfield News Sun	Springfield, Ohio USA
OH_TB	The Blade	Toledo, Ohio USA
OK_TW	Tulsa World	Tulsa, Okla. USA
OR_TO	The Oregonian	Portland, Ore. USA
OR_SJ	Statesman Journal	Salem, Ore. USA
PA_MC	The Morning Call	Allentown, Pa. USA
PA_ET	The Express-Times	Easton, Pa. USA
PA_TRW	Tribune-Review - Westmoreland Edition	Greensburg, Pa. USA
PA_PN	The Patriot-News	Harrisburg, Pa. USA
PA_SS	Standard-Speaker	Hazleton, Pa. USA
PA_LNP	LNP	Lancaster, Pa. USA
PA_LDN	Lebanon Daily News	Lebanon, Pa. USA
PA_PI	The Philadelphia Inquirer	Philadelphia, Pa. USA
PA_PPG	Pittsburgh Post-Gazette	Pittsburgh, Pa. USA
PA_RH	The Republican-Herald	Pottsville, Pa. USA
PA_TT	The Times-Tribune	Scranton, Pa. USA
PA_CDT	Centre Daily Times	State College, Pa. USA
PA_DI	The Daily Item	Sunbury, Pa. USA
